hits_count,reads_count,hits_count_pro,orf_len,hits_10kb,reads_10kb,len_10kb,hits_per_len,reads_per_len,hits_10kb_per_len,reads_10kb_per_len,NI,hits_ratio,norm_orf_len,norm_hits_count,norm_reads_count,norm_reads_10kb,norm_hits_10kb,norm_len_10kb,norm_hits_pro,orf,label
19,458,6,314,162,2314,7514.0,0.06050955414012739,1.4585987261146496,0.021559755123768964,0.3079584775086505,0.3563033215191292,0.3157894736842105,0.01798120147118921,0.05491329479768786,0.03958855562278503,0.14315763424894828,0.2488479262672811,0.37373919308357345,0.16216216216216217,YAL069W,non_ess
11,474,10,254,164,2321,7657.0,0.04330708661417323,1.8661417322834646,0.02141831004309782,0.30312132689042703,0.49456825008607697,0.9090909090909091,0.013894564773191665,0.031791907514450865,0.04097156193275132,0.14359069537243255,0.2519201228878648,0.38232468780019213,0.2702702702702703,YAL068W-A,non_ess
1,2,0,362,177,2437,8525.0,0.0027624309392265192,0.0055248618784530384,0.020762463343108505,0.2858651026392962,7.516011730205279,0.0,0.021250510829587253,0.002890173410404624,0.00017287578874578615,0.15076713684731502,0.271889400921659,0.43443804034582134,0.0,YAL068C,non_ess
5,466,3,227,177,2437,8806.0,0.022026431718061675,2.052863436123348,0.020099931864637748,0.27674312968430614,0.9125369066545537,0.6,0.012055578259092769,0.014450867052023121,0.04028005877776817,0.15076713684731502,0.271889400921659,0.45130883765609986,0.08108108108108109,YAL067W-A,non_ess
19,207,3,1781,243,3086,14735.0,0.010668163952835485,0.11622683885457608,0.0164913471326773,0.20943332202239565,1.5458468022788563,0.15789473684210525,0.11789946873722927,0.05491329479768786,0.017892644135188866,0.1909180895817867,0.37327188940092165,0.8072766570605187,0.08108108108108109,YAL067C,non_ess
9,56,3,308,246,3141,16027.0,0.02922077922077922,0.18181818181818182,0.015349098396455981,0.1959817807449928,0.5252802562342713,0.3333333333333333,0.017572537801389457,0.026011560693641616,0.004840522084882012,0.1943207126948775,0.3778801843317972,0.8848463016330451,0.08108108108108109,YAL066W,non_ess
3,9,1,386,230,2637,16278.0,0.007772020725388601,0.023316062176165803,0.014129499938567392,0.16199778842609658,1.8179956587623378,0.3333333333333333,0.022885165508786273,0.008670520231213872,0.0007779410493560377,0.1631403118040089,0.3533026113671275,0.8999159462055716,0.02702702702702703,YAL065C,non_ess
2,3,1,380,232,2655,16480.0,0.005263157894736842,0.007894736842105263,0.01407766990291262,0.16110436893203883,2.674757281553398,0.5,0.022476501838986515,0.005780346820809248,0.0002593136831186792,0.16425389755011136,0.3563748079877112,0.9120437079731027,0.02702702702702703,YAL064W-B,non_ess
3,11,2,380,237,2464,16571.0,0.007894736842105263,0.02894736842105263,0.014302094019672923,0.14869350069398346,1.8115985758252369,0.6666666666666666,0.022476501838986515,0.008670520231213872,0.0009508168381018238,0.1524375154664687,0.3640552995391705,0.917507204610951,0.05405405405405406,YAL064C-A,non_ess
2,8,4,284,258,2949,14314.0,0.007042253521126761,0.028169014084507043,0.018024311862512226,0.2060220762889479,2.5594522844767362,2.0,0.015937883122190438,0.005780346820809248,0.0006915031549831446,0.18244246473645137,0.39631336405529954,0.7820004803073967,0.10810810810810811,YAL064W,non_ess
