hits_count,reads_count,hits_count_pro,ratio_hits_prom,orf_len,insertion_index,NI,NI_ratio,HFI,orf,label
0.002890173410404624,0.00017287578874578615,0.0,0.7272727272727273,0.021250510829587253,0.0027624309392265192,0.13304928676218122,0.19915254237288135,0.43922651933701656,YAL068C,non_ess
0.05491329479768786,0.017892644135188866,0.08108108108108109,0.7727272727272727,0.11789946873722927,0.010668163952835484,0.6468946331071229,0.6606995884773662,0.18135878719820325,YAL067C,non_ess
0.026011560693641616,0.004840522084882012,0.08108108108108109,2.0,0.017572537801389457,0.02922077922077922,1.9037456445993033,1.258536585365854,0.23376623376623376,YAL066W,non_ess
0.008670520231213872,0.0007779410493560377,0.02702702702702703,2.0,0.022885165508786273,0.007772020725388602,0.5500563189907637,0.34347826086956523,0.4430051813471503,YAL065C,non_ess
0.008670520231213872,0.0009508168381018238,0.05405405405405406,4.0,0.022476501838986515,0.007894736842105262,0.5519986675549634,0.6413502109704642,0.5368421052631579,YAL064C-A,non_ess
0.24277456647398843,0.11392514478347307,0.5405405405405406,1.0,0.09011033919084593,0.06117989803350327,1.6050726189966156,0.9456601198888837,0.05535324107793154,YAL062W,non_ess
0.1445086705202312,0.06923675339268735,0.0,1.6451612903225807,0.08193706579485084,0.039904229848363934,0.8941397788165546,0.8142857142857144,0.0893854748603352,YAL061W,non_ess
0.0953757225433526,0.021004408332613016,0.02702702702702703,1.1851851851851851,0.07478545157335513,0.02874564459930314,0.5562830167472181,0.8959417273673257,0.07317073170731707,YAL060W,non_ess
0.031791907514450865,0.009075978909153773,0.13513513513513514,1.0,0.040049039640375976,0.017241379310344827,0.33365355445444433,1.0286738351254479,0.26489028213166144,YAL059W,non_ess
0.09248554913294797,0.02809231567119025,0.02702702702702703,1.2727272727272727,0.09930527176134042,0.021220159151193636,0.4019040005813742,0.7378995433789954,0.07161803713527852,YAL058W,non_ess
0.031791907514450865,0.005877776817356729,0.2972972972972973,0.9285714285714286,0.020433183489987742,0.03142857142857143,0.5569791240278347,0.6934097421203438,0.38,YAL056C-A,non_ess
0.18208092485549132,0.05047973031376955,0.21621621621621623,0.9583333333333334,0.1765427053534941,0.02384557153671461,0.4070678928013115,0.9642125625853436,0.04920514761544285,YAL056W,non_ess
0.04335260115606936,0.014867317832137609,0.08108108108108109,2.25,0.0335104209235799,0.027675276752767528,0.40507568340989536,1.4387755102040818,0.3284132841328413,YAL055W,non_ess
0.1445086705202312,0.039242804045293456,0.08108108108108109,1.3055555555555556,0.14241928892521455,0.023353573096683792,0.34423534517316584,0.6339249966635527,0.07006071929005138,YAL054C,non_ess
0.12138728323699421,0.03310571354481805,0.02702702702702703,1.4814814814814814,0.15672251736820597,0.01786473840918758,0.3032203180527161,0.7068723702664798,0.11782220331773713,YAL053W,non_ess
0.11849710982658959,0.03397009248854698,0.24324324324324326,1.0,0.21066612178177363,0.013044861597200128,0.20255955140017864,0.6054453161052147,0.10213172128539612,YAL051W,non_ess
0.023121387283236993,0.0062235283948483015,0.08108108108108109,1.8571428571428568,0.04699632202697181,0.010810810810810813,0.17578256222324018,0.4278719397363465,0.2445945945945946,YAL049C,non_ess
0.10404624277456646,0.02048578096637566,0.13513513513513514,0.6666666666666666,0.1319983653453208,0.018108651911468814,0.27212186160440904,0.7826086956521738,0.2751509054325956,YAL048C,non_ess
0.02023121387283237,0.003543953669288616,0.08108108108108109,0.6666666666666666,0.12382509194932573,0.003747323340471092,0.05731531049250535,0.3129411764705882,0.5058886509635975,YAL047C,non_ess
0.014450867052023121,0.0026795747255596854,0.2702702702702703,0.75,0.020841847159787496,0.01404494382022472,0.2575299782834482,0.6302521008403361,0.43258426966292135,YAL046C,non_ess
0.008670520231213872,0.00112369262684761,0.05405405405405406,0.3636363636363637,0.017572537801389457,0.00974025974025974,0.2011895667357852,0.4739495798319329,0.18181818181818185,YAL045C,non_ess
0.026011560693641616,0.003457515774915723,0.21621621621621623,1.6666666666666667,0.03146710257458112,0.017578125,0.3348418445121951,0.3658536585365854,0.2109375,YAL044C,non_ess
0.031791907514450865,0.003543953669288616,0.0,0.8095238095238095,0.15713118103800575,0.004666949512091642,0.07071275646868888,0.3725068158989812,0.3949936359779381,YAL043C,ess
0.028901734104046242,0.007260783127323018,0.05405405405405406,0.4545454545454545,0.022272170004086638,0.026525198938992044,0.4447074884006256,0.6747324336900885,0.1724137931034483,YAL042C-A,non_ess
0.07514450867052022,0.01521306940962918,0.08108108108108109,0.4545454545454545,0.0815284021250511,0.020850040096230957,0.3616497182815304,0.6775244299674267,0.12830793905372895,YAL042W,non_ess
0.028901734104046242,0.004321894718644654,0.0,2.0,0.17123007764609727,0.0039001560062402493,0.07320970258165166,0.3142559833506764,0.87597503900156,YAL041W,ess
0.031791907514450865,0.010458985219120061,0.0,0.4,0.11524315488353086,0.006314580941446614,0.1225843487278249,0.6719758064516129,0.3128587830080368,YAL040C,non_ess
0.2543352601156069,0.1247298815800847,0.24324324324324326,1.1785714285714286,0.05169595422966899,0.10877626699629173,2.161285537700865,1.294328358208955,0.0630407911001236,YAL039C,non_ess
0.017341040462427744,0.0012965684155933962,0.0,0.02631578947368421,0.09889660809154067,0.0039946737683089215,0.08260082901646089,0.1679250981576563,0.26564580559254325,YAL038W,ess
