hits_count,hits_count_pro,ratio_hits_prom,orf_len,insertion_index,NI,NI_ratio,HFI,orf,label
0.0390625,0.1111111111111111,1.0,0.01798120147118921,0.03184713375796178,1.6278868235192163,0.5875077303648732,0.3057324840764331,YAL069W,non_ess
0.0234375,0.18518518518518517,0.625,0.013894564773191665,0.023622047244094488,1.1899606299212595,0.7736842105263158,0.9881889763779528,YAL068W-A,non_ess
0.03515625,0.18518518518518517,5.0,0.017572537801389457,0.02922077922077922,3.00206043956044,3.75,0.525974025974026,YAL066W,non_ess
0.20703125,0.5185185185185185,1.1666666666666667,0.09011033919084593,0.03860160233066278,1.6917765830698566,0.8336965791717994,0.1056081573197378,YAL062W,non_ess
0.15625,0.0,1.0,0.08193706579485084,0.03192338387869114,1.1577301182364637,0.8323699421965318,0.14046288906624102,YAL061W,non_ess
0.13671875,0.0,0.0,0.07478545157335513,0.03048780487804878,0.9186713442476888,1.0723228752393577,0.13501742160278746,YAL060W,non_ess
0.01171875,0.1111111111111111,0.3,0.020433183489987742,0.008571428571428572,0.24430546412113235,0.3102918586789555,1.0,YAL056C-A,non_ess
0.01171875,0.037037037037037035,0.5,0.0335104209235799,0.005535055350553504,0.1575294324371815,0.8035714285714285,0.3413284132841328,YAL055W,non_ess
0.05078125,0.0,0.0,0.15713118103800575,0.005515485787017395,0.10048252082617802,0.3240327380952381,0.5023334747560458,YAL043C,ess
0.03515625,0.037037037037037035,1.0,0.022272170004086638,0.02387267904509284,0.4781038095139799,0.6438192158036515,0.2572944297082228,YAL042C-A,non_ess
0.02734375,0.0,1.0,0.17123007764609727,0.002730109204368175,0.06205666195397816,0.3924632352941176,0.9106864274570984,YAL041W,ess
0.05078125,0.2222222222222222,1.0,0.05169595422966899,0.016069221260815822,0.38174880421346796,0.2460358056265985,0.380716934487021,YAL039C,non_ess
0.05859375,0.0,0.0,0.09889660809154067,0.009986684420772305,0.2589880159786951,0.5384615384615385,0.5266311584553928,YAL038W,ess
0.0078125,0.07407407407407407,2.0,0.002860645688598284,0.021739130434782608,0.5740279639915725,1.8325991189427315,0.5652173913043478,YAL037C-A,non_ess
0.02734375,0.0,0.0,0.055782590927666534,0.00805523590333717,0.2812864858508396,1.992700729927008,0.6156501726121979,YAL034W-A,ess
0.0,0.0,0.0,0.03208009807928076,0.0,0.0,0.0,1.0,YAL033W,ess
0.046875,0.0,0.0,0.0741724560686555,0.010535557506584723,0.8112379280070237,0.9244186046511628,0.3125548726953468,YAL032C,ess
0.0390625,0.14814814814814814,8.0,0.017572537801389457,0.032467532467532464,2.561425061425061,4.324324324324324,0.3928571428571429,YAL031W-A,non_ess
0.0234375,0.037037037037037035,1.0,0.035349407437678795,0.01054481546572935,0.62031023152747,0.6758893280632411,0.7416520210896309,YAL019W-A,non_ess
0.00390625,0.037037037037037035,0.2,0.009194932570494484,0.005405405405405407,0.2717043574186431,0.3673469387755102,1.0,YAL016C-B,non_ess
0.0,0.0,0.0,0.06375153248876175,0.0,0.0,0.0,1.0,YAL003W,ess
0.0859375,0.07407407407407407,0.3333333333333333,0.1068655496526359,0.01358863495985176,1.0557324084192523,0.7545787545787547,0.14762198888202593,YAR002W,non_ess
0.078125,0.037037037037037035,0.2,0.08377605230894974,0.015625,1.8859797297297296,0.7010135135135135,0.3125,YAR003W,non_ess
0.0,0.0,1.0,0.12362076011442583,0.0,0.0,0.0,1.0,YAR007C,ess
0.015625,0.037037037037037035,2.0,0.05292194523906825,0.004836759371221282,0.5342173552708449,0.6235955056179775,0.6565900846432889,YAR008W,ess
0.08203125,0.0,0.0,0.19574989783408256,0.007181942544459643,0.5241298069615443,1.4722222222222223,0.396374829001368,YAR019C,ess
0.06640625,0.0,0.0,0.03330608908868002,0.031539888682745834,1.7728652300080872,1.5789173789173792,0.2671614100185529,YAR023C,non_ess
0.04296875,0.2962962962962963,8.0,0.01982018798528811,0.03225806451612903,1.582471089470481,2.9402515723270444,0.6011730205278593,YAR030C,non_ess
0.44921875,0.4444444444444444,1.7142857142857142,0.13710666121781775,0.055744062045564716,3.852191867767533,1.1684765352130564,0.18080465341735336,YAR035W,non_ess
0.0,0.25925925925925924,2.333333333333333,0.0020433183489987745,0.0,0.0,0.0,1.0,YAR035C-A,non_ess
0.0390625,0.0,1.0,0.019411524315488354,0.02985074626865672,2.419836302359172,2.5000000000000004,0.6388059701492538,YBL109W,non_ess
0.02734375,0.0,1.0,0.01736820596648958,0.022950819672131147,1.7079751883030572,0.6112266112266113,0.5934426229508196,YBL108W,non_ess
0.0625,0.0,1.0,0.23191663261136086,0.004630969609261939,0.2748114860233071,0.6343859649122806,0.3102749638205499,YBL105C,ess
0.015625,0.2222222222222222,0.8571428571428571,0.004699632202697181,0.03361344537815126,2.3292275814435364,0.8904109589041094,0.5462184873949579,YBL100W-C,non_ess
0.0234375,0.0,1.0,0.15079689415610953,0.00265017667844523,0.49276370197729497,0.4939870490286773,0.5993816254416962,YBL097W,ess
0.06640625,0.07407407407407407,2.0,0.017572537801389457,0.055194805194805185,7.845021645021645,5.414814814814815,0.3474025974025974,YBL096C,non_ess
0.0,0.0,1.0,0.04597466285247242,0.0,0.0,1.0,1.0,YBL092W,ess
0.03125,0.07407407407407407,2.0,0.03848249557281025,0.013008130081300813,1.1168408826945413,1.4628571428571429,0.3268292682926829,YBL091C-A,non_ess
0.01953125,0.0,1.0,0.15161422149570905,0.0021968365553602814,0.07147382188253566,0.2534287418008348,0.6089630931458699,YBL084C,ess
0.01953125,0.0,0.0,0.21577441765427055,0.0015537600994406464,0.05602451374950331,0.1864754098360656,0.4748290863890615,YBL076C,ess
0.01953125,0.037037037037037035,0.3333333333333333,0.06926849203105845,0.004686035613870665,0.21369451564458394,0.463855421686747,0.2774133083411434,YBL074C,ess
0.01171875,0.0,1.0,0.06429641738182809,0.003018108651911469,0.1317188847369934,0.4056122448979592,0.806841046277666,YBL050W,ess
0.140625,0.037037037037037035,0.3333333333333333,0.021659174499387007,0.09782608695652174,2.953858695652174,0.9812903225806452,1.0,YBL044W,non_ess
0.0078125,0.0,0.0,0.04597466285247242,0.0027586206896551718,0.0730716669315112,0.25345622119815664,0.5296551724137931,YBL041W,ess
0.0390625,0.0,1.0,0.048086091813104484,0.013227513227513229,0.3541479484875711,0.8542976939203354,0.4735449735449736,YBL040C,ess
0.00390625,0.0,0.0,0.04413567633837352,0.0014326647564469914,0.0364020088116585,0.09341397849462366,1.0,YBL038W,non_ess
0.046875,0.0,0.0,0.14078463424601553,0.005668398677373642,0.1933553771059676,0.6025641025641025,0.3235710911667454,YBL035C,ess
0.03515625,0.0,1.0,0.30588475684511646,0.0019819423034573877,0.05600458746601372,0.21062106210621065,0.4595903985906188,YBL034C,ess
0.03125,0.2222222222222222,1.5,0.015937883122190438,0.028169014084507043,1.1398144967365167,0.8902439024390243,0.426056338028169,YBL029C-A,non_ess
0.0625,0.0,0.0,0.07355946056395588,0.014159292035398232,0.5857112022447658,0.8436154949784792,0.315929203539823,YBL029W,non_ess
0.0,0.0,1.0,0.024860373246151753,0.0,0.0,0.0,1.0,YBL026W,ess
0.01953125,0.0,0.0,0.1140171638741316,0.0029002320185614852,0.07278390490417315,0.22260273972602734,0.41125290023201855,YBL020W,ess
0.0078125,0.0,0.0,0.029015120555782592,0.004201680672268907,0.10695432018961427,0.3564102564102563,0.7184873949579832,YBL018C,ess
0.1328125,0.07407407407407407,0.3333333333333333,0.10420923579893748,0.021518987341772152,0.7304228998849253,0.8272144522144523,0.15379746835443034,YBL015W,non_ess
0.2734375,0.1111111111111111,0.42857142857142855,0.07866775643645281,0.05809128630705394,2.421277086214846,2.0917508417508417,0.15933609958506226,YBL013W,non_ess
0.03515625,0.037037037037037035,1.0,0.023906824683285657,0.02244389027431421,1.3108634663341647,1.9375000000000004,0.2493765586034913,YBL012C,non_ess
0.0078125,0.0,0.0,0.0335104209235799,0.003690036900369004,0.8387658876588766,0.5777777777777777,0.7287822878228782,YBL006C,non_ess
0.0078125,0.0,1.0,0.006742950551695956,0.013422818791946308,3.1243584682195027,1.4411764705882353,1.0,YBL006W-A,non_ess
0.0234375,0.14814814814814814,2.0,0.02370249284838578,0.01507537688442211,0.5345401707331839,0.8975903614457831,0.4120603015075377,YBL003C,non_ess
0.05078125,0.2222222222222222,1.2,0.023498161013485903,0.032911392405063286,0.9802359033371691,0.8652597402597403,0.3291139240506329,YBL002W,non_ess
0.109375,0.037037037037037035,0.2,0.01798120147118921,0.08917197452229299,2.4107182077750933,1.6393678160919538,0.10828025477707008,YBL001C,non_ess
0.3984375,0.3333333333333333,1.5,0.15610952186350635,0.04355251921434671,1.1464841733842588,1.1956043956043958,0.09692570452604612,YBR001C,non_ess
0.04296875,0.0,0.0,0.0551695954229669,0.012790697674418604,0.36802050038576,0.7900109369303684,0.8988372093023256,YBR002C,ess
0.0078125,0.037037037037037035,1.0,0.08520637515324889,0.0015372790161414295,0.04502920518940584,0.09851551956815112,0.8139892390468871,YBR004C,ess
0.05859375,0.037037037037037035,1.0,0.04025337147527585,0.0234009360374415,0.682087205667215,1.88438021122846,0.1684867394695788,YBR005W,non_ess
0.24609375,0.0,0.0,0.09828361258684104,0.04219691895512391,1.446939886135298,1.3167613636363638,0.07434695244474213,YBR006W,non_ess
0.015625,0.0,0.0,0.05537392725786678,0.004634994206257242,0.44366595704546063,0.4685615848406546,0.4345307068366164,YBR011C,ess
0.01953125,0.0,0.0,0.022885165508786273,0.01295336787564767,0.7974984323949704,0.9872611464968152,0.4559585492227979,YBR016W,non_ess
